Food_Item,Calories,Protein_g,Carbs_g,Fat_g,Meal_Type,Diet_Type
Lemon Tofu Roast with Ramen,656,20.6,56.4,30.6,Breakfast,Veg
Garlic Egg Pasta with Pasta,404,37.4,33.2,27.3,Dinner,Veg
Garlic Lentil Stir Fry with Noodles,379,12.3,85.3,13.2,Dinner,Veg
Masala Pork Noodles with Bun,631,29.2,40.2,21.1,Snack,Veg
Lemon Lentil Noodles with Bun,94,2.3,76.6,31.4,Snack,Veg
Garlic Shrimp Tacos with Noodles,220,31.5,63.2,10.1,Lunch,Non-Veg
Spicy Lentil Soup with Dumpling,571,10.4,59.3,17.2,Snack,Veg
Spicy Shrimp Noodles with Noodles,81,21.2,15.7,1.1,Lunch,Non-Veg
Honey Beef Soup with Noodles,218,2.1,78.4,3.7,Snack,Non-Veg
Masala Paneer Burger with Quinoa,173,14.8,74,20.6,Snack,Non-Veg
Lemon Tofu Curry with Quinoa,422,3.1,39.1,19.4,Snack,Non-Veg
Butter Tofu Stir Fry with Bun,522,14.5,78.3,20.7,Lunch,Non-Veg
Herb Chicken Stir Fry with Flatbread,644,17.6,7,6.7,Dinner,Non-Veg
BBQ Fish Salad with Flatbread,102,34,81.2,18,Breakfast,Non-Veg
Herb Chicken Stir Fry with Dumpling,92,4.6,71.2,16.9,Breakfast,Non-Veg
Lemon Lentil Stir Fry with Ramen,284,29.8,82.9,27,Lunch,Veg
Chili Fish Roast with Quinoa,392,28.9,40.2,19.6,Snack,Non-Veg
Honey Turkey Pasta with Pasta,434,8.7,48.5,28.7,Snack,Veg
Spicy Turkey Soup with Dumpling,467,24.2,87.3,5,Lunch,Non-Veg
Lemon Fish Noodles with Bun,504,29.2,17.7,5.7,Snack,Non-Veg
Garlic Egg Pasta with Noodles,143,10.3,32,14.7,Snack,Veg
Butter Paneer Pasta with Bread,455,36.6,25.3,24.8,Snack,Non-Veg
Lemon Paneer Wrap with Pasta,384,31.3,50.4,6,Snack,Veg
Butter Beef Burger with Dumpling,288,37.7,56.8,34.8,Breakfast,Veg
BBQ Egg Stir Fry with Rice,672,3.8,56.4,22.1,Lunch,Veg
Chili Beef Pasta with Flatbread,99,13.5,48,23.7,Snack,Veg
Butter Chicken Stir Fry with Dumpling,129,12.3,77.7,8.8,Snack,Non-Veg
Butter Turkey Salad with Flatbread,535,9,40.7,3.6,Dinner,Veg
Chili Shrimp Rice Bowl with Pasta,407,36.4,27.8,2.8,Snack,Non-Veg
Herb Shrimp Grill with Quinoa,234,25.4,18.4,29.4,Breakfast,Veg
Garlic Lentil Wrap with Rice,272,26.7,19.5,11.4,Snack,Veg
